ID,DATE,CURRENCY,PX_LAST
GTIDR8Y Govt,2021-09-03,,6.009
GTIDR8Y Govt,2021-09-04,,6.009
GTIDR8Y Govt,2021-09-05,,6.009
GTIDR8Y Govt,2021-09-06,,5.987901
GTIDR8Y Govt,2021-09-07,,5.987206
GTIDR8Y Govt,2021-09-08,,6.009126
GTIDR8Y Govt,2021-09-09,,6.00389
GTIDR8Y Govt,2021-09-10,,5.976627
GTIDR8Y Govt,2021-09-11,,5.976627
GTIDR8Y Govt,2021-09-12,,5.976627
GTIDR8Y Govt,2021-09-13,,5.974857
GTIDR8Y Govt,2021-09-14,,5.969
GTIDR8Y Govt,2021-09-15,,5.96042
GTIDR8Y Govt,2021-09-16,,5.967114
GTIDR8Y Govt,2021-09-17,,5.967839
GTIDR8Y Govt,2021-09-18,,5.967839
GTIDR8Y Govt,2021-09-19,,5.967839
GTIDR8Y Govt,2021-09-20,,5.970028
GTIDR8Y Govt,2021-09-21,,6.0075
GTIDR8Y Govt,2021-09-22,,6.016955
GTIDR8Y Govt,2021-09-23,,5.992342
GTIDR8Y Govt,2021-09-24,,6.012604
GTIDR8Y Govt,2021-09-25,,6.012604
GTIDR8Y Govt,2021-09-26,,6.012604
GTIDR8Y Govt,2021-09-27,,6.032729
GTIDR8Y Govt,2021-09-28,,6.039437
GTIDR8Y Govt,2021-09-29,,6.0555
GTIDR8Y Govt,2021-09-30,,6.108204
GTIDR8Y Govt,2021-10-01,,6.116713
GTIDR8Y Govt,2021-10-02,,6.116713
GTIDR8Y Govt,2021-10-03,,6.116713
GTIDR8Y Govt,2021-10-04,,6.119513
GTIDR8Y Govt,2021-10-05,,6.071424
GTIDR8Y Govt,2021-10-06,,6.064322
GTIDR8Y Govt,2021-10-07,,6.116025
GTIDR8Y Govt,2021-10-08,,6.136354
GTIDR8Y Govt,2021-10-09,,6.136354
GTIDR8Y Govt,2021-10-10,,6.136354
GTIDR8Y Govt,2021-10-11,,6.156559
GTIDR8Y Govt,2021-10-12,,6.148012
GTIDR8Y Govt,2021-10-13,,6.141023
GTIDR8Y Govt,2021-10-14,,6.113439
GTIDR8Y Govt,2021-10-15,,6.087739
GTIDR8Y Govt,2021-10-16,,6.087739
GTIDR8Y Govt,2021-10-17,,6.087739
GTIDR8Y Govt,2021-10-18,,6.092174
GTIDR8Y Govt,2021-10-19,,6.087695
GTIDR8Y Govt,2021-10-20,,6.087695
GTIDR8Y Govt,2021-10-21,,6.089288
GTIDR8Y Govt,2021-10-22,,6.082196
GTIDR8Y Govt,2021-10-23,,6.082196
GTIDR8Y Govt,2021-10-24,,6.082196
GTIDR8Y Govt,2021-10-25,,6.10595
GTIDR8Y Govt,2021-10-26,,6.089211
GTIDR8Y Govt,2021-10-27,,6.08131
GTIDR8Y Govt,2021-10-28,,6.101829
GTIDR8Y Govt,2021-10-29,,6.116676
GTIDR8Y Govt,2021-10-30,,6.116676
GTIDR8Y Govt,2021-10-31,,6.116676
